BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Broker C,Townhouse,694604,4,4,1161,1 Main St,FL,1 Main St,County A,City A,District B,Main St,Property 1,"1 Main St, City A, CA",38.66899953610616,-121.8773666549028
Broker A,Townhouse,128380,2,3,2972,2 Main St,FL,2 Main St,County A,City A,District A,Main St,Property 2,"2 Main St, City A, CA",38.694770934130545,-121.50036172297132
Broker C,Townhouse,734486,3,2,3177,3 Main St,WA,3 Main St,County C,City C,District B,Oak Ave,Property 3,"3 Main St, City A, CA",37.830056590601785,-121.51949045664533
Broker C,Townhouse,364500,2,1,2808,4 Main St,WA,4 Main St,County C,City B,District A,Pine Blvd,Property 4,"4 Main St, City A, CA",38.595541560354484,-121.97123912663099
Broker A,Single Family,170326,5,2,586,5 Main St,NY,5 Main St,County C,City A,District C,Main St,Property 5,"5 Main St, City A, CA",37.812597390422674,-122.14498736836431
Broker A,Townhouse,978879,5,3,3012,6 Main St,WA,6 Main St,County A,City C,District C,Oak Ave,Property 6,"6 Main St, City A, CA",38.14206962569502,-122.02622956543573
Broker C,Condo,739282,5,3,3442,7 Main St,NY,7 Main St,County C,City B,District C,Oak Ave,Property 7,"7 Main St, City A, CA",38.31719997562108,-122.03163567147024
Broker B,Condo,320971,2,2,3273,8 Main St,NY,8 Main St,County C,City A,District C,Main St,Property 8,"8 Main St, City A, CA",37.92300079862713,-122.1325331250172
Broker C,Townhouse,906481,4,1,3004,9 Main St,NY,9 Main St,County B,City B,District C,Main St,Property 9,"9 Main St, City A, CA",38.52121381256908,-122.15082039566703
Broker C,Townhouse,568933,4,2,3810,10 Main St,FL,10 Main St,County B,City B,District B,Pine Blvd,Property 10,"10 Main St, City A, CA",37.783254704172144,-121.55833706352027
Broker C,Condo,991793,1,1,2200,11 Main St,FL,11 Main St,County A,City A,District C,Pine Blvd,Property 11,"11 Main St, City A, CA",37.94349904843404,-122.34953807931534
Broker C,Condo,902514,5,2,4170,12 Main St,WA,12 Main St,County B,City A,District C,Main St,Property 12,"12 Main St, City A, CA",38.35569682985348,-121.7417888179004
Broker A,Single Family,887093,4,3,3200,13 Main St,FL,13 Main St,County B,City A,District C,Pine Blvd,Property 13,"13 Main St, City A, CA",38.4892875620373,-122.24657994854354
Broker C,Condo,268484,1,4,4129,14 Main St,WA,14 Main St,County B,City B,District C,Oak Ave,Property 14,"14 Main St, City A, CA",38.69154310269392,-122.07489410660594
Broker B,Condo,889352,4,4,2147,15 Main St,FL,15 Main St,County A,City B,District A,Pine Blvd,Property 15,"15 Main St, City A, CA",38.480396651934626,-122.35785696586515
Broker A,Townhouse,584410,5,1,3818,16 Main St,CA,16 Main St,County B,City C,District C,Pine Blvd,Property 16,"16 Main St, City A, CA",38.44667927025487,-122.14942636314453
Broker B,Condo,869666,3,1,4187,17 Main St,CA,17 Main St,County A,City B,District C,Oak Ave,Property 17,"17 Main St, City A, CA",38.169241146350664,-121.65097892888275
